id_area,area,area_solicitante
236,OTROS,TRIBU TESORERÍA
237,SISTEMAS,TRIBU END USER
238,SERVICIOS DE DISTRIBUCIÓN,GCIA DE DIV DE GES Y DES HUM Y ADMINISTR
239,OTROS,GERENCIA CENTRAL DE RIESGOS
240,SERVICIOS DE DISTRIBUCIÓN,GERENCIA DE AREA FINANZAS CORPORATIVAS
241,GDH,TRIBU EXPERIENCIA DEL COLABORADOR
242,OTROS,GCIA AREA NEGOC. Y GESTIÓN DE PROV. CORP
243,TRIBUS,GCIA DE AREA CUENT ESPEC Y SEG DE CREDIT
244,SISTEMAS,GERENCIA DE AREA DE TECNOLOGIA - CTO
245,CLIENTES CONTENTOS,GERENCIA DE AREA DE INFRAESTRUCTURA
246,MARKETING,TRIBU PRESTAMOS
247,OTROS,IO
248,DIVISION YAPE,GERENCIA DE DIVISIÓN RIESGO BANCA MINORI
249,ASUNTOS CORPORATIVOS,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
250,GDH,AREA PERFILES DIGITALES
251,SERVICIOS DE DISTRIBUCIÓN,GERENCIA DE ÁREA BANCA INTERNACIONAL
252,SISTEMAS,DIVISION YAPE
253,SEGURIDAD,TRIBU DE RIESGOS NO FINANCIEROS
254,GDH,TRIBU TESORERÍA
255,RECONECTA,GCIA DE AREA CENTRO DE CONTACTO Y VENTAS
256,ASUNTOS CORPORATIVOS,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
257,CLIENTES CONTENTOS,COE LEAN AGILE CENTER OF EXCELLENCE-LACE
258,TRIBUS,TRIBU RIESGOS PYME
259,TRIBUS,DIVISION YAPE
260,TRIBUS,TRIBU FACTURA ELECTRONICA NEGOCIABLE
261,OTROS,GERENCIA GENERAL
262,GAF,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
263,OTROS,COE MODEL RISK MANAGMENT - MRM
264,MEDIOS DE PAGO,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
265,RECONECTA,GERENCIA DIV DESARROLLO PRODUC. PERSONAS
266,DIVISION YAPE,DIVISION YAPE
267,MEDIOS DE PAGO,GERENCIA DIV DESARROLLO PRODUC. PERSONAS
268,GDH,GCIA DE AREA CLIENTES CONTENTOS E INNOVA
269,MARKETING,GCIA AREA DE DESARROLLO NUEVOS NEGOCIOS
270,GDH,GCIA AREA CORPORAT RELACIONES LABORALES
271,ALQUILERES,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
272,RECONECTA,GCIA AREA SEG CORP INVESTI & LAB FORENSE
273,SISTEMAS,GERENCIA GENERAL
274,CLIENTES CONTENTOS,GCIA TRANSFORMACIÓN DE LA EXPERIENCIA
275,MANTENIMIENTO,GERENCIA DE AREA DE INFRAESTRUCTURA
276,MARKETING,GERENCIA GENERAL
277,DIVISION YAPE,TRIBU YAPE EXPERIENCIA
278,TRANSFORMACION AGIL,TRIBU PRODUCTOS TRANSACCIONALES EMP&CORP
279,SUMINISTROS,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
280,MANTENIMIENTO,AREA PERFILES DIGITALES
281,SISTEMAS,"TRIBU AHORROS, INVERSIONES Y TRANSACCION"
282,RECONECTA,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
283,RECONECTA,DIVISION DE NEOBANCA Y YAPE
284,GDH,AREA COMERCIAL LIMA 2
285,MARKETING,TRIBU SEGMENTOS PERSONAS
286,TRIBUS,GERENCIA CENTRAL DE CLIENTES PERSONAS
287,TRIBUS,COE LEAN AGILE CENTER OF EXCELLENCE-LACE
288,SERVICIOS DE DISTRIBUCIÓN,GERENCIA DE ÁREA GESTION DE CUMPLIMIENTO
289,MARKETING,COE DISEÑO ESTRATÉGICO
290,ALQUILERES,SIN_AREA
291,OTROS,GERENCIA DE DIVISION DE CREDITOS
292,OTROS,GCIA DE DIVIS PLANEAMIENTO Y CONTROL FIN
293,OTROS,GERENCIA DE AREA DE IMPUESTOS
294,OTROS,GERENCIA DE AREA PRICING
295,SIN_AREA,SIN_AREA
296,TRIBUS,GERENCIA DE AREA FINANZAS CORPORATIVAS
297,DATA,GCIA GENERAL ADJ DE TRANSF E INNOVACION
298,ASUNTOS CORPORATIVOS,GERENCIA DE DIVISION ASUNTOS CORPORATIVO
299,GDH,COE MODEL RISK MANAGMENT
300,GDH,DIVISION YAPE
301,SISTEMAS,GERENCIA DE DIVISION SEGMENTOS PERSONAS
302,CLIENTES CONTENTOS,GERENCIA DIV DESARROLLO PRODUC. PERSONAS
303,OTROS,COE LEAN AGILE CENTER OF EXCELLENCE-LACE
304,TRIBUS,TRIBU BANCA SEGUROS
305,OTROS,TRIBU VENTAS DIGITALES
306,MANTENIMIENTO,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
307,TRIBUS,TRIBU CANALES ALTERNATIVOS
308,OTROS,GERENCIA DE DIVIS CUMPLIM Y ÉTICA CORPOR
309,OBRAS POR IMPUESTOS,GERENCIA DE AREA DE INFRAESTRUCTURA
310,MARKETING,COE MARKETING Y COMUNICACIONES
311,SEGURIDAD,GCIA AREA SEG CORP INVESTI & LAB FORENSE
312,SERVICIOS DE DISTRIBUCIÓN,"GERENCIA CENTRAL DE TI, OPERA Y DATA"
313,OTROS,AREA BANCA EMPRESAS LIMA(1)
314,OTROS,AREA BANCA EMPRESA LIMA 4 Y PROVINCIAS
315,OTROS,GERENCIA DE ÁREA GESTION DE CUMPLIMIENTO
316,RECONECTA,COE DISEÑO ESTRATÉGICO
317,GDH,"GCIA AREA ESTRAT. FINANZAS TI, DATA Y OP"
318,TRANSFORMACION AGIL,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
319,DIVISION YAPE,COE MARKETING Y COMUNICACIONES
320,GDH,GCIA DE AREA SOFTWARE ENGINEERING - CIO
321,DATA,GCIA DE DIVISION CANALES DE ATENCION
322,CLIENTES CONTENTOS,COE CRM
323,RECONECTA,COE MARKETING Y COMUNICACIONES
324,SISTEMAS,GCIA AREA SEGURIDAD CORPO. & CRIMEN CIBE
325,TRIBUS,TRIBU EXPERIENCIA DEL COLABORADOR
326,TRIBUS,TRIBU INFRASTRUCTURE & IT OPERATION
327,TRIBUS,TRIBU YAPE PAGOS
328,OTROS,"GCIA AREA ESTRAT. FINANZAS TI, DATA Y OP"
329,TRIBUS,GCIA DIV SEGMEN. CANALES PYME Y NEGOCIOS
330,RECONECTA,SIN_AREA
331,SUMINISTROS,GERENCIA DE AREA DE INFRAESTRUCTURA
332,GDH,GERENCIA GENERAL
333,OTROS,GCIA DIVISIÓN PRODUCTOS Y CANALES EMPRES
334,GDH,GERENCIA DIVISION DE TESORERIA
335,SISTEMAS,TRIBU INFRASTRUCTURE & IT OPERATION
336,INGENIERIA,AREA COMERCIAL LIMA 2
337,TRIBUS,GCIA DIVIS DE CLIENTES CORPORAT E INTERN
338,GDH,GERENCIA DIV DESARROLLO PRODUC. PERSONAS
339,OTROS,GCIA CENTRAL DE EMPRESAS Y CORPORACIONES
340,CLIENTES CONTENTOS,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
341,OTROS,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
342,TRIBUS,GERENCIA GENERAL
343,OTROS,GCIA DE DIVISION CANALES DE ATENCION
344,OBRAS POR IMPUESTOS,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
345,TRIBUS,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
346,TRANSFORMACION AGIL,COE LEAN AGILE CENTER OF EXCELLENCE-LACE
347,RECONECTA,TRIBU STAFF DCA
348,OTROS,GERENCIA DE ÁREA BANCA INTERNACIONAL
