"EquipoKey","EquipoSolicitante"
"1","Equipo de Contabilidad"
"2","Equipo de Evaluación Financiera"
"3","Equipo de Presupuesto"
"4","Equipo de Costos"
"5","Equipo de Planificación"
"6","Equipo de Finanzas Estratégicas"
"7","Equipo de Tesorería"
